,Stats,,,,,,
B-SOiD labels,Percent of time,Mean duration (frames),10th %tile (frames),25th %tile (frames),50th %tile (frames),75th %tile (frames),90th %tile (frames)
0,0.03159243832105094,1.5263157894736843,1.0,1.0,1.0,2.0,3.0
1,0.19705222685036847,2.3635664873174482,1.0,1.0,2.0,3.0,5.0
2,0.07907721884011534,2.539094650205761,1.0,1.0,2.0,3.0,5.0
3,0.0017302146747837231,1.4210526315789473,1.0,1.0,1.0,1.5,2.1999999999999993
4,0.0,,0.0,0.0,0.0,0.0,0.0
5,0.17590515860301187,2.589622641509434,1.0,1.0,2.0,3.0,5.0
6,0.009291893623838513,1.3679245283018868,1.0,1.0,1.0,1.0,2.0
7,0.058442806792694646,1.8650306748466257,1.0,1.0,1.0,2.0,4.0
8,0.04255046459468119,1.3920335429769393,1.0,1.0,1.0,2.0,2.0
9,0.1231015700096123,2.6315068493150684,1.0,1.0,2.0,3.0,5.0
10,0.10413329061198334,2.414561664190193,1.0,1.0,2.0,3.0,5.0
11,0.17225248317846845,3.593582887700535,1.0,1.0,2.0,5.0,10.0
12,0.0008971483498878565,1.1666666666666667,1.0,1.0,1.0,1.0,1.9000000000000004
13,0.001281640499839795,1.3333333333333333,1.0,1.0,1.0,1.5,2.0
